Customer ID,SeniorCitizen_Status,Contract,Churn,Payment Method,MonthlyCharges_Clean,Tenure,TotalCharges_Clean
0257-ZESQC,Yes,Month-to-month,Yes,Bank transfer (automatic),0,27,"1,929"
0258-NOKBL,No,Month-to-month,No,Electronic check,0,3,268
0259-GBZSH,No,Month-to-month,Yes,Electronic check,0,2,181
0260-ZDLGK,No,Month-to-month,Yes,Mailed check,0,9,651
0263-FJTQO,No,Two year,No,Credit card (automatic),0,50,"3,486"
0264-CNITK,No,Two year,No,Bank transfer (automatic),0,71,"1,389"
0265-EDXBD,Yes,Month-to-month,Yes,Electronic check,0,32,"2,303"
0265-PSUAE,No,Month-to-month,No,Bank transfer (automatic),0,16,"1,522"
0266-CLZKZ,No,Two year,No,Bank transfer (automatic),0,67,"6,717"
0266-GMEAO,No,Two year,No,Credit card (automatic),0,72,"8,058"
0268-QKIWO,No,Month-to-month,Yes,Electronic check,0,3,58
0269-XFESX,No,One year,No,Mailed check,0,23,538
0270-THENM,No,Two year,No,Bank transfer (automatic),0,72,"5,102"
0274-JKUJR,No,Month-to-month,No,Mailed check,0,7,465
0277-BKSQP,No,Month-to-month,No,Electronic check,0,8,475
0277-ORXQS,No,Two year,No,Bank transfer (automatic),0,66,"3,364"
0278-YXOOG,No,Month-to-month,Yes,Mailed check,0,5,113
0280-XJGEX,No,Month-to-month,Yes,Bank transfer (automatic),0,49,"5,036"
0281-CNTZX,No,Two year,No,Bank transfer (automatic),0,63,"1,234"
0282-NVSJS,Yes,Month-to-month,No,Mailed check,0,12,355
0285-INHLN,No,Month-to-month,No,Credit card (automatic),0,27,"1,510"
0289-IVARM,No,Month-to-month,No,Electronic check,0,35,"1,982"
0292-WEGCH,No,Month-to-month,No,Electronic check,0,54,"4,524"
0295-PPHDO,No,Month-to-month,Yes,Electronic check,0,1,95
0295-QVKPB,No,Month-to-month,No,Credit card (automatic),0,5,318
0297-RBCSG,No,One year,No,Bank transfer (automatic),0,19,"1,231"
0298-XACET,No,Two year,No,Mailed check,0,52,"2,554"
0301-FIDRB,No,Two year,No,Bank transfer (automatic),0,72,"4,684"
0301-KOBTQ,No,Two year,No,Bank transfer (automatic),0,32,614
0302-JOIVN,No,Month-to-month,Yes,Electronic check,0,8,842
0303-UNCIP,No,One year,No,Mailed check,65,41,"2,531"
0303-WMMRN,No,Month-to-month,No,Mailed check,0,5,86
0305-SQECB,No,One year,No,Mailed check,0,11,402
0306-JAELE,No,Month-to-month,Yes,Electronic check,0,5,453
0307-BCOPK,No,One year,No,Mailed check,0,16,326
0308-GIQJT,Yes,One year,No,Bank transfer (automatic),0,71,"7,382"
0308-IVGOK,No,One year,No,Credit card (automatic),0,11,422
0310-MVLET,No,Month-to-month,Yes,Electronic check,0,61,"6,010"
0310-SUCIN,No,One year,No,Bank transfer (automatic),0,71,"6,046"
0310-VQXAM,No,Month-to-month,No,Mailed check,0,9,178
0311-QYWSS,No,Month-to-month,No,Electronic check,0,6,314
0311-UNPFF,No,Month-to-month,Yes,Bank transfer (automatic),0,26,"2,274"
0314-TKOSI,No,Month-to-month,No,Mailed check,0,6,322
0315-LVCRK,No,Month-to-month,No,Electronic check,0,11,888
0318-QUUOB,No,Month-to-month,Yes,Electronic check,0,1,80
0318-ZOPWS,No,Two year,No,Bank transfer (automatic),0,49,973
0319-QZTCO,No,Month-to-month,No,Credit card (automatic),0,3,168
0320-DWVTU,No,Two year,No,Mailed check,0,53,"5,424"
0320-JDNQG,No,Month-to-month,Yes,Electronic check,0,23,"2,331"
0322-CHQRU,No,Month-to-month,Yes,Electronic check,0,2,89
0322-YINQP,No,Month-to-month,Yes,Mailed check,0,1,48
0323-XWWTN,No,Two year,No,Mailed check,0,3,121
0324-BRPCJ,Yes,Month-to-month,Yes,Electronic check,0,68,"6,851"
0325-XBFAC,No,Month-to-month,Yes,Electronic check,0,8,740
0326-VDYXE,No,One year,No,Electronic check,0,70,"6,982"
0327-WFZSY,No,One year,No,Electronic check,100,39,"3,835"
0328-GRPMV,No,Month-to-month,Yes,Electronic check,0,1,70
0329-GTIAJ,No,Month-to-month,Yes,Electronic check,0,3,315
0330-BGYZE,No,One year,No,Bank transfer (automatic),0,60,"6,157"
0330-IVZHA,No,Month-to-month,Yes,Electronic check,0,5,330
0334-GDDSO,Yes,Month-to-month,Yes,Electronic check,0,3,233
0334-ZFJSR,No,One year,No,Credit card (automatic),0,55,"3,462"
0336-KXKFK,No,Two year,No,Credit card (automatic),0,72,"4,390"
0336-PIKEI,Yes,Two year,No,Bank transfer (automatic),0,72,"5,360"
0337-CNPZE,No,Month-to-month,Yes,Electronic check,0,41,"4,443"
0343-QLUZP,No,Two year,No,Bank transfer (automatic),0,60,"2,424"
0345-HKJVM,No,Month-to-month,Yes,Electronic check,0,6,577
0345-XMMUG,No,Two year,No,Credit card (automatic),0,46,"4,854"
0347-UBKUZ,No,Month-to-month,No,Mailed check,0,15,320
0348-SDKOL,No,Month-to-month,Yes,Credit card (automatic),0,58,"5,885"
0354-VXMJC,No,Two year,No,Credit card (automatic),0,23,426
0354-WYROK,Yes,Month-to-month,Yes,Electronic check,0,31,"2,911"
0356-ERHVT,No,Month-to-month,No,Bank transfer (automatic),0,11,521
0356-OBMAC,Yes,Two year,No,Bank transfer (automatic),0,56,"5,706"
0357-NVCRI,No,Month-to-month,No,Credit card (automatic),0,25,471
0361-HJRDX,No,Two year,No,Credit card (automatic),0,68,"4,539"
0362-RAOQO,No,Two year,No,Credit card (automatic),0,40,830
0362-ZBZWJ,No,Month-to-month,Yes,Electronic check,0,36,"3,067"
0363-QJVFX,No,Month-to-month,Yes,Credit card (automatic),0,32,"3,432"
0363-SVHYR,No,Two year,No,Bank transfer (automatic),0,71,"6,263"
0365-BZUWY,No,Month-to-month,No,Electronic check,0,17,"1,742"
0365-GXEZS,No,Month-to-month,No,Electronic check,0,18,"1,468"
0365-TRTPY,No,Month-to-month,No,Bank transfer (automatic),0,37,"3,382"
0366-NQSHS,No,Month-to-month,No,Mailed check,0,2,46
0369-ZGOVK,No,One year,No,Bank transfer (automatic),0,28,"1,992"
0373-AIVNJ,No,One year,No,Mailed check,0,9,373
0374-AACSZ,No,Month-to-month,No,Electronic check,0,1,50
0374-FIUCA,No,Two year,No,Credit card (automatic),0,65,"1,414"
0374-IOEGQ,No,Month-to-month,No,Electronic check,0,3,122
0375-HVGXO,No,Month-to-month,Yes,Electronic check,0,1,34
0376-OIWME,No,Month-to-month,No,Electronic check,0,36,"3,366"
0376-YMCJC,No,Month-to-month,Yes,Electronic check,0,23,"1,943"
0377-JBKKT,No,Month-to-month,No,Mailed check,0,22,"1,271"
0378-CJKPV,No,Two year,No,Credit card (automatic),0,72,"7,965"
0378-NHQXU,No,Month-to-month,Yes,Electronic check,0,17,"1,460"
0378-TOVMS,No,Month-to-month,Yes,Electronic check,0,3,272
0378-XSZPU,No,One year,Yes,Credit card (automatic),0,58,"3,563"
0379-DJQHR,No,Two year,No,Credit card (automatic),0,67,"5,398"
0380-NEAVX,Yes,One year,No,Electronic check,0,34,"3,343"
0380-ZCSBI,No,Month-to-month,No,Credit card (automatic),20,10,198
0383-CLDDA,No,Two year,No,Credit card (automatic),0,69,"5,897"
0384-LPITE,No,One year,No,Credit card (automatic),0,40,"2,511"
0384-RVBPI,No,Month-to-month,No,Credit card (automatic),0,20,"1,398"
0386-CWRGM,No,Two year,No,Mailed check,0,46,967
0388-EOPEX,No,Month-to-month,Yes,Electronic check,0,2,139
0390-DCFDQ,Yes,Month-to-month,Yes,Mailed check,0,1,70
0392-BZIUW,No,Two year,No,Credit card (automatic),105,72,"7,589"
0394-YONDK,No,Two year,No,Credit card (automatic),0,70,"1,790"
0396-HUJBP,No,Month-to-month,No,Mailed check,0,2,44
0396-UKGAI,No,Month-to-month,No,Bank transfer (automatic),0,23,"1,284"
0396-YCHWO,No,Month-to-month,No,Electronic check,0,36,"3,474"
0397-GZBBC,Yes,Month-to-month,Yes,Bank transfer (automatic),0,59,"5,574"
0397-ZXWQF,No,Two year,No,Bank transfer (automatic),0,67,"1,430"
0401-WDBXM,No,Two year,No,Bank transfer (automatic),0,72,"7,542"
0402-CQAJN,No,Month-to-month,Yes,Bank transfer (automatic),0,37,"3,545"
0402-OAMEN,No,Two year,No,Bank transfer (automatic),0,72,"1,709"
0404-AHASP,No,Two year,No,Credit card (automatic),0,72,"1,421"
0404-SWRVG,No,Month-to-month,Yes,Electronic check,0,3,229
0406-BPDVR,Yes,One year,Yes,Credit card (automatic),0,54,"5,373"
0407-BDJKB,No,Month-to-month,Yes,Electronic check,0,60,"5,742"
0409-WTMPL,No,One year,No,Credit card (automatic),0,58,"6,526"
0410-IPFTY,No,Month-to-month,No,Bank transfer (automatic),0,31,"2,674"
0411-EZJZE,No,Month-to-month,No,Electronic check,0,3,170
0412-UCCNP,No,Two year,No,Electronic check,0,55,"3,175"
0415-MOSGF,No,Month-to-month,Yes,Mailed check,0,1,44
0419-YAAPX,No,Month-to-month,No,Credit card (automatic),0,49,"4,297"
0420-BWTPW,No,Month-to-month,Yes,Mailed check,0,8,215
0420-HLGXF,Yes,Month-to-month,No,Electronic check,0,39,"4,036"
0420-TXVSG,No,Two year,No,Credit card (automatic),0,66,"4,428"
0422-OHQHQ,No,One year,No,Mailed check,0,15,295
0422-UXFAP,No,One year,No,Electronic check,0,51,"4,947"
0423-UDIJQ,Yes,Month-to-month,No,Mailed check,0,9,447
0426-TIRNE,No,Month-to-month,Yes,Mailed check,0,1,20
0428-AXXLJ,No,One year,No,Bank transfer (automatic),0,25,516
0428-IKYCP,No,Month-to-month,No,Bank transfer (automatic),87,22,"1,850"
0430-IHCDJ,No,Month-to-month,No,Electronic check,49,15,749
0431-APWVY,No,One year,Yes,Bank transfer (automatic),0,28,"2,598"
0432-CAJZV,No,Month-to-month,No,Mailed check,0,3,237
0434-CSFON,No,Month-to-month,No,Electronic check,0,47,"4,707"
0436-TWFFZ,No,Two year,No,Mailed check,0,67,"5,714"
0439-IFYUN,Yes,Month-to-month,No,Electronic check,0,18,"1,294"
0440-EKDCF,No,Two year,No,Credit card (automatic),0,62,"3,753"
0440-MOGPM,No,One year,No,Electronic check,0,41,"3,263"
0440-QEXBZ,No,Month-to-month,No,Mailed check,0,44,"2,139"
0440-UEDAI,No,One year,No,Credit card (automatic),0,53,"5,042"
0442-TDYUO,No,Two year,No,Mailed check,0,48,"1,036"
0442-ZXKVS,Yes,One year,No,Bank transfer (automatic),0,54,"6,431"
0447-BEMNG,No,Month-to-month,Yes,Bank transfer (automatic),0,48,"2,145"
0447-RXSGD,No,Month-to-month,No,Bank transfer (automatic),0,24,"2,404"
0454-OKRCT,No,Two year,No,Bank transfer (automatic),0,33,"2,651"
0455-ENTCR,No,Two year,No,Electronic check,0,66,"5,538"
0455-XFASS,No,Month-to-month,No,Electronic check,0,3,200
0458-HEUZG,No,Two year,No,Mailed check,0,13,450
0459-SPZHJ,No,Two year,No,Credit card (automatic),0,63,"5,435"
0461-CVKMU,No,Month-to-month,Yes,Electronic check,0,23,"1,900"
0463-TXOAK,No,Two year,No,Credit card (automatic),0,52,"1,334"
0463-WZZKO,No,Month-to-month,No,Credit card (automatic),0,3,67
0463-ZSDNT,No,Month-to-month,No,Bank transfer (automatic),0,10,503
0464-WJTKO,No,Two year,No,Bank transfer (automatic),0,72,"1,460"
0468-YRPXN,No,Month-to-month,No,Credit card (automatic),0,29,"2,807"
0471-ARVMX,Yes,One year,No,Electronic check,0,62,"6,312"
0471-LVHGK,No,One year,Yes,Electronic check,73,41,"3,001"
0475-RIJEP,No,Month-to-month,Yes,Electronic check,0,43,"3,365"
0479-HMSWA,No,Two year,No,Electronic check,0,26,"2,715"
0480-BIXDE,No,Month-to-month,No,Electronic check,0,19,"1,743"
0480-KYJVA,No,Two year,No,Credit card (automatic),0,72,"1,784"
0481-SUMCB,Yes,One year,No,Bank transfer (automatic),0,45,"4,735"
0484-FFVBJ,No,One year,No,Bank transfer (automatic),0,32,"2,010"
0484-JPBRU,No,Month-to-month,No,Bank transfer (automatic),0,41,996
0485-ZBSLN,No,Two year,No,Credit card (automatic),0,65,"1,715"
0486-HECZI,No,Month-to-month,Yes,Electronic check,0,55,"5,238"
0486-LGCCH,No,Two year,No,Mailed check,0,11,225
0487-CRLZF,No,Two year,No,Bank transfer (automatic),0,49,"3,721"
0487-RPVUM,No,Month-to-month,No,Bank transfer (automatic),0,61,"5,943"
0487-VVUVK,No,Month-to-month,No,Mailed check,0,25,477
0488-GSLFR,No,Month-to-month,Yes,Electronic check,0,1,69
0489-WMEMG,No,One year,No,Electronic check,0,23,"1,119"
0491-KAPQG,No,Month-to-month,No,Electronic check,0,21,"1,558"
0495-RVCBF,No,Month-to-month,Yes,Electronic check,0,1,79
0495-ZBNGW,Yes,Month-to-month,Yes,Bank transfer (automatic),0,5,343
0496-AHOOK,No,One year,No,Bank transfer (automatic),0,24,"1,712"
0504-HHAPI,Yes,Month-to-month,Yes,Credit card (automatic),0,27,"2,467"
0505-SPOOW,No,Two year,No,Bank transfer (automatic),0,70,"1,397"
0506-LVNGN,Yes,Month-to-month,Yes,Credit card (automatic),0,5,349
0506-YLVKJ,No,Two year,No,Mailed check,0,46,917
0508-OOLTO,No,Month-to-month,No,Electronic check,0,2,135
0508-SQWPL,No,Two year,No,Bank transfer (automatic),0,57,"1,087"
0511-JTEOY,No,Month-to-month,Yes,Mailed check,0,1,71
0512-FLFDW,Yes,One year,No,Credit card (automatic),0,60,"6,029"
0513-RBGPE,No,Two year,No,Credit card (automatic),0,37,"2,278"
0515-YPMCW,No,Month-to-month,Yes,Mailed check,0,1,70
0516-OOHAR,No,One year,No,Bank transfer (automatic),0,28,"2,799"
0516-QREYC,Yes,Month-to-month,No,Mailed check,0,24,459
0516-UXRMT,No,One year,No,Electronic check,0,62,"5,755"
0516-VRYBW,No,One year,Yes,Bank transfer (automatic),0,18,390
0516-WJVXC,No,Month-to-month,Yes,Electronic check,0,5,308
0519-DRGTI,No,Month-to-month,No,Mailed check,0,20,442
0519-XUZJU,No,Month-to-month,Yes,Mailed check,0,1,70
0520-FDVVT,No,One year,Yes,Bank transfer (automatic),0,35,"3,626"
0523-VNGTF,Yes,Month-to-month,No,Electronic check,0,52,"2,566"
0524-IAVZO,No,Month-to-month,Yes,Electronic check,85,30,"2,624"
0526-SXDJP,No,Two year,No,Bank transfer (automatic),0,72,"2,962"
0529-ONKER,Yes,Month-to-month,Yes,Electronic check,0,15,"1,146"
0530-IJVDB,No,Two year,No,Electronic check,0,70,"7,882"
0531-XBKMM,No,Two year,No,Bank transfer (automatic),0,66,"4,378"
0531-ZZJWQ,Yes,Month-to-month,No,Electronic check,74,55,"4,052"
0533-BNWKF,Yes,Month-to-month,Yes,Electronic check,0,55,"4,874"
0533-UCAAU,Yes,One year,No,Credit card (automatic),0,57,"4,140"
0536-ACXIP,No,Two year,No,Electronic check,0,72,"8,165"
0536-BGFMZ,No,Month-to-month,No,Mailed check,0,28,563
0536-ESJEP,No,Two year,No,Bank transfer (automatic),0,54,"4,191"
0537-QYZZN,Yes,Month-to-month,No,Electronic check,0,24,"1,857"
0541-FITGH,No,Month-to-month,No,Mailed check,0,2,113
0547-HURJB,No,Month-to-month,No,Credit card (automatic),0,12,235
0549-CYCQN,Yes,One year,No,Bank transfer (automatic),0,51,"3,974"
0550-DCXLH,No,Month-to-month,No,Mailed check,0,13,931
0556-FJEGU,No,Two year,No,Bank transfer (automatic),0,58,"4,048"
0557-ASKVU,No,One year,No,Credit card (automatic),0,18,957
0559-CKHUS,No,Two year,No,Mailed check,0,29,521
0562-FGDCR,No,Two year,No,Mailed check,0,72,"5,430"
0562-HKHML,No,Two year,No,Credit card (automatic),0,71,"1,626"
0562-KBDVM,No,Two year,No,Bank transfer (automatic),0,70,"3,058"
0564-JJHGS,No,Month-to-month,Yes,Electronic check,0,9,829
0564-MUUQK,No,Month-to-month,No,Bank transfer (automatic),0,20,"1,916"
0565-IYCGT,No,One year,Yes,Credit card (automatic),0,69,"5,356"
0565-JUPYD,No,One year,No,Credit card (automatic),0,63,"6,590"
0567-GGCAC,No,Month-to-month,No,Electronic check,0,7,438
0567-XRHCU,No,Two year,No,Credit card (automatic),0,69,"2,960"
0568-ONFPC,No,Month-to-month,Yes,Bank transfer (automatic),0,5,135
0570-BFQHT,No,Month-to-month,No,Electronic check,0,9,653
0572-ZJKLT,No,Two year,No,Mailed check,0,46,"4,630"
